Loading Type,Constraint,Number of Layer,E1/E2,a/h,Configuration,Deflection 
SSL,SSSS,12,40,100,LH2,0.276487564
SSL,SSSS,12,40,100,LH3,0.274415044
SSL,SSSS,12,40,100,FH,0.273516888
SSL,SSSS,12,40,100,QI,0.235546788
SSL,SSSS,16,10,10,HR1,0.98411206
SSL,SSSS,16,10,10,HR2,1.001520372
SSL,SSSS,16,10,10,HR3,1.0090851
SSL,SSSS,16,10,10,HE1,0.973931436
SSL,SSSS,16,10,10,HE2,0.97074276
SSL,SSSS,16,10,10,HE3,0.97523112
SSL,SSSS,16,10,10,HS1,0.982593176
SSL,SSSS,16,10,10,HS2,0.964117868
SSL,SSSS,16,10,10,HS3,0.954427368
SSL,SSSS,16,10,10,LH1,0.98401476
SSL,SSSS,16,10,10,LH2,0.988482624
SSL,SSSS,16,10,10,LH3,0.992881164
SSL,SSSS,16,10,10,FH,0.994986788
SSL,SSSS,16,10,10,QI,0.917509924
SSL,SSSS,16,10,100,HR1,0.834213248
SSL,SSSS,16,10,100,HR2,0.820791528
SSL,SSSS,16,10,100,HR3,0.820791528
SSL,SSSS,16,10,100,HE1,0.832709336
SSL,SSSS,16,10,100,HE2,0.809741036
SSL,SSSS,16,10,100,HE3,0.816527332
SSL,SSSS,16,10,100,HS1,0.774918812
SSL,SSSS,16,10,100,HS2,0.771254612
SSL,SSSS,16,10,100,HS3,0.779452784
SSL,SSSS,16,10,100,LH1,0.828243156
SSL,SSSS,16,10,100,LH2,0.822489056
SSL,SSSS,16,10,100,LH3,0.81621104
SSL,SSSS,16,10,100,FH,0.804458208
SSL,SSSS,16,10,100,QI,0.734117184
SSL,SSSS,16,40,10,HR1,0.482229312
SSL,SSSS,16,40,10,HR2,0.482229312
SSL,SSSS,16,40,10,HR3,0.530687892
SSL,SSSS,16,40,10,HE1,0.530687892
SSL,SSSS,16,40,10,HE2,0.46601324
SSL,SSSS,16,40,10,HE3,0.464521432
SSL,SSSS,16,40,10,HS1,0.479873548
SSL,SSSS,16,40,10,HS2,0.45997574
SSL,SSSS,16,40,10,HS3,0.435779752
SSL,SSSS,16,40,10,LH1,0.4804371
SSL,SSSS,16,40,10,LH2,0.486871832
SSL,SSSS,16,40,10,LH3,0.493896692
SSL,SSSS,16,40,10,FH,0.507627828
SSL,SSSS,16,40,10,QI,0.507627828
SSL,SSSS,16,40,100,HR1,0.278310596
SSL,SSSS,16,40,100,HR2,0.271413604
SSL,SSSS,16,40,100,HR3,0.26683784
SSL,SSSS,16,40,100,HE1,0.279574976
SSL,SSSS,16,40,100,HE2,0.268927444
SSL,SSSS,16,40,100,HE3,0.272846444
SSL,SSSS,16,40,100,HS1,0.258646056
SSL,SSSS,16,40,100,HS2,0.253588952
SSL,SSSS,16,40,100,HS3,0.253374176
SSL,SSSS,16,40,100,LH1,0.276309364
SSL,SSSS,16,40,100,LH2,0.273683984
SSL,SSSS,16,40,100,LH3,0.27098806
SSL,SSSS,16,40,100,FH,0.266575728
SSL,SSSS,16,40,100,QI,0.227272368
SSL,SSSS,20,10,10,HR1,0.994863568
SSL,SSSS,20,10,10,HR2,1.009608708
SSL,SSSS,20,10,10,HR3,0.997322204
SSL,SSSS,20,10,10,HE1,0.9715769
SSL,SSSS,20,10,10,HE2,0.962990556
SSL,SSSS,20,10,10,HE3,0.975170208
SSL,SSSS,20,10,10,HS1,0.988478912
SSL,SSSS,20,10,10,HS2,0.965804264
SSL,SSSS,20,10,10,HS3,0.94479726
SSL,SSSS,20,10,10,LH1,0.989594976
SSL,SSSS,20,10,10,LH2,0.99541502
SSL,SSSS,20,10,10,LH3,1.000447432
SSL,SSSS,20,10,10,FH,0.970256708
SSL,SSSS,20,10,10,QI,0.90726742
SSL,SSSS,20,10,100,HR1,0.827244064
SSL,SSSS,20,10,100,HR2,0.807813504
SSL,SSSS,20,10,100,HR3,0.797051396
SSL,SSSS,20,10,100,HE1,0.81805726
SSL,SSSS,20,10,100,HE2,0.796635604
SSL,SSSS,20,10,100,HE3,0.810919608
SSL,SSSS,20,10,100,HS1,0.810919608
SSL,SSSS,20,10,100,HS2,0.770915332
SSL,SSSS,20,10,100,HS3,0.758664704
SSL,SSSS,20,10,100,LH1,0.822731604
SSL,SSSS,20,10,100,LH2,0.815023656
SSL,SSSS,20,10,100,LH3,0.807503308
SSL,SSSS,20,10,100,FH,0.7923304
SSL,SSSS,20,10,100,QI,0.720630084
SSL,SSSS,20,40,10,HR1,0.499161936
SSL,SSSS,20,40,10,HR2,0.532168688
SSL,SSSS,20,40,10,HR3,0.515111328
SSL,SSSS,20,40,10,HE1,0.4657611
SSL,SSSS,20,40,10,HE2,0.456258164
SSL,SSSS,20,40,10,HE3,0.460235748
SSL,SSSS,20,40,10,HS1,0.484453548
SSL,SSSS,20,40,10,HS2,0.46261628
SSL,SSSS,20,40,10,HS3,0.43211734
SSL,SSSS,20,40,10,LH1,0.487895736
SSL,SSSS,20,40,10,LH2,0.497147124
SSL,SSSS,20,40,10,LH3,0.506475452
SSL,SSSS,20,40,10,FH,0.472079636
SSL,SSSS,20,40,10,QI,0.40801814
SSL,SSSS,20,40,100,HR1,0.274502648
SSL,SSSS,20,40,100,HR2,0.266736352
SSL,SSSS,20,40,100,HR3,0.262445616
SSL,SSSS,20,40,100,HE1,0.272421216
SSL,SSSS,20,40,100,HE2,0.260861428
SSL,SSSS,20,40,100,HE3,0.271168488
SSL,SSSS,20,40,100,HS1,0.264495076
SSL,SSSS,20,40,100,HS2,0.255732676
SSL,SSSS,20,40,100,HS3,0.242091436
SSL,SSSS,20,40,100,LH1,0.274212904
SSL,SSSS,20,40,100,LH2,0.271123248
SSL,SSSS,20,40,100,LH3,0.268425116
SSL,SSSS,20,40,100,FH,0.260372712
SSL,SSSS,20,40,100,QI,0.221549284
